Date,WellName,WT GL,WT GOR,WT LIQ,WT Oil,WT THP,WT WCT,Z1 BHP*10,Z2 BHP*10,Z3 BHP*10,Z4 BHP*10,Z6 BHP*10,Z5 BHP*10,Z7 BHP*10,Forecast IB-25,Forecast Last RoFo,WI Rate,WI BHP,WI THP,WI IB25,Z1 BHP*10,Z2 BHP*10,Z3 BHP*10
7/9/2023 0:00,cheetah-20,2.047590882,441.9842078,9710.192663,5747.317368,102.8986444,4080,8840,8890,8380,,,,,,,,,,,8840,8890,8380
7/10/2023 0:00,cheetah-20,2.059525082,469.6452163,9165.957348,5548.331047,101.9082009,3946.613404,8440,8490,8150,,,,,,,,,,,8440,8490,8150
7/11/2023 0:00,cheetah-20,2.056634467,475.1146341,8890.139654,5600.929965,101.2478595,3699.600824,8210,8250,7930,,,,,,,,,,,8210,8250,7930
7/31/2023 0:00,cheetah-20,2.041229512,757.4197621,6503,4729.460911,105.8609752,2727.262939,6420,6460,6070,,,,,,,,6410,1090,,6420,6460,6070
8/16/2023 0:00,cheetah-20,2.049563806,835.0736263,5733.853486,4308.082155,103.32892,2486.584867,5910,5930,5590,,,,,,,,5910,1040,,5910,5930,5590
9/19/2023 0:00,cheetah-20,2.01544454,1007.921465,5000.218529,3240.11253,105.220297,3520.058152,5620,5640,5360,,,,,,,,5620,1110,,5620,5640,5360
9/28/2023 0:00,cheetah-20,2.070635026,1059.791189,4677.373456,3105.805616,107.1303839,3359.936627,5550,5570,5300,,,,,,,,5540,1090,,5550,5570,5300
10/6/2023 0:00,cheetah-20,2.034231439,1033.29231,4808.638996,2992.316173,107.1219048,3777.207697,5550,5570,5320,,,,,,,,5560,1140,,5550,5570,5320
10/21/2023 0:00,cheetah-20,2.046719382,1052.954504,4502.262691,2764.614255,106.55993,3859.500333,5470,5490,5260,,,,,,,,5460,1080,,5470,5490,5260
12/17/2023 0:00,cheetah-20,2.06364146,1979.999171,1742.883033,608.2661786,95.84798182,6510,4880,8010,8330,,,,,,,,5440,1160,,4880,8010,8330
12/18/2023 0:00,cheetah-20,2.035986686,1922.723501,1601.191644,608.4528246,95.49401534,6200,4850,8980,9450,,,,,,,,4810,1340,,4850,8980,9450
12/19/2023 0:00,cheetah-20,2.035199039,2237.482206,1413.108165,525.6762375,95.24234533,6280,4220,9210,9640,,,,,,,,,,,4220,9210,9640
12/21/2023 0:00,cheetah-20,2.037364783,1198.317283,2291.328839,1737.440557,97.98635383,2415,9180,4070,9850,,,,,,,,9060,1040,,9180,4070,9850
12/22/2023 0:00,cheetah-20,2.055583513,1137.530056,2131.424889,1630.54004,96.95625924,2350,9680,3960,9930,,,,,,,,9640,1030,,9680,3960,9930
12/25/2023 0:00,cheetah-20,2.016511966,1171.968749,2401.283281,1434.791483,97.0819368,4024.897045,10260,8480,4110,,,,,,,,10250,950,,10260,8480,4110
12/26/2023 0:00,cheetah-20,2.032562282,1056.795826,2325.652055,1405.344408,96.82403228,3957.202649,10370,8960,4160,,,,,,,,10360,990,,10370,8960,4160
12/27/2023 0:00,cheetah-20,2.034715533,1035.390427,3413.931234,2090.370821,101.3574486,3885.682483,9620,8570,4570,,,,,,,,10130,1010,,9620,8570,4570
2/3/2024 0:00,cheetah-20,2.028693056,1250.272328,3819.640774,1932.480506,103.2192459,4940.674739,5450,5470,5280,,,,,,,,5440,1000,,5450,5470,5280
3/12/2024 0:00,cheetah-20,2.039079837,1342.333554,3624.394459,1738.946532,102.7506267,5202.104652,5430,5440,5290,,,,,,,,5520,1070,,5430,5440,5290
3/21/2024 0:00,cheetah-20,2.06208823,1466.418791,3568.378455,1649.746894,102.7141194,5376.7603,,,,,,,,,,,,1080,,,,
